symbol,base,quote,capital_simulado_quote,capital_usdt_equiv_003_slip,nivel,clasificacion
ADA/USDT,ADA,USDT,1000000.0,123158.625594,33,optimo
AI16Z/USDT,AI16Z,USDT,1000000.0,12271.594816,5,bajo
ALGO/USDT,ALGO,USDT,1000000.0,32029.609989,10,alto
ATOM/USDT,ATOM,USDT,1000000.0,12510.744839,11,bajo
AVAX/USDT,AVAX,USDT,1000000.0,38147.479,5,alto
BCH/USDT,BCH,USDT,1000000.0,18072.76646,10,bajo
BERA/USDT,BERA,USDT,1000000.0,22951.353883,4,medio
BNB/USDT,BNB,USDT,1000000.0,14445.05478,7,bajo
BTC/USDT,BTC,USDT,1000000.0,2623520.8373,95,optimo
DAI/USDT,DAI,USDT,1000000.0,22833.498899,9,medio
DOGE/USDT,DOGE,USDT,1000000.0,119206.561986,26,optimo
DOT/USDT,DOT,USDT,1000000.0,35869.21684,14,alto
ETH/USDT,ETH,USDT,1000000.0,1172963.55576,61,optimo
EURR/USDT,EURR,USDT,1000000.0,57055.097059,2,optimo
FARTCOIN/USDT,FARTCOIN,USDT,1000000.0,14110.513046,10,bajo
LINK/USDT,LINK,USDT,1000000.0,62148.834261,22,optimo
LTC/USDT,LTC,USDT,1000000.0,18885.502838,17,bajo
RLUSD/USDT,RLUSD,USDT,1000000.0,329277.839763,6,optimo
SHIB/USDT,SHIB,USDT,1000000.0,10510.678084,4,bajo
SOL/USDT,SOL,USDT,1000000.0,219438.93042,31,optimo
TRUMP/USDT,TRUMP,USDT,1000000.0,35979.340076,16,alto
USDC/USDT,USDC,USDT,1000000.0,1497397.681363,24,optimo
USDQ/USDT,USDQ,USDT,1000000.0,466468.647055,17,optimo
USDR/USDT,USDR,USDT,1000000.0,69859.187926,11,optimo
XMR/USDT,XMR,USDT,1000000.0,10330.42901,17,bajo
XRP/USDT,XRP,USDT,1000000.0,283664.446327,55,optimo
AAVE/BTC,AAVE,BTC,9.195951,12636.642811,6,bajo
ADA/BTC,ADA,BTC,9.19595194,32500.676958,2,alto
ADA/ETH,ADA,ETH,389.3504855,10669.597409,6,bajo
ADA/USDC,ADA,USDC,1000400.160064,42707.418673,19,alto
ALGO/BTC,ALGO,BTC,9.195951941,10474.779465,5,bajo
BCH/BTC,BCH,BTC,9.195951,27228.524744,6,medio
BNB/USDC,BNB,USDC,1000400.16,13145.68958,4,bajo
BTC/DAI,BTC,DAI,1000510.2,37451.914777,9,alto
BTC/USDC,BTC,USDC,1000400.16,3699639.849181,68,optimo
BTC/USDQ,BTC,USDQ,999900.0,28867.976209,12,medio
BTC/USDR,BTC,USDR,1001401.9,50929.765166,5,optimo
CMETH/ETH,CMETH,ETH,389.3504,27512.848188,10,medio
DOGE/BTC,DOGE,BTC,9.195951941,93672.455009,5,optimo
DOT/ETH,DOT,ETH,389.350485,13505.69102,4,bajo
ETH/BTC,ETH,BTC,9.19595,358342.188041,8,optimo
ETH/DAI,ETH,DAI,1000510.26,21588.455853,4,medio
ETH/USDC,ETH,USDC,1000400.16,267263.923211,38,optimo
EUROP/USDC,EUROP,USDC,1000400.16,41392.23648,5,alto
EURR/USDC,EURR,USDC,1000400.16,11762.793,2,bajo
JITOSOL/SOL,JITOSOL,SOL,6541.5058,14437.289303,3,bajo
LINK/BTC,LINK,BTC,9.19595194,21359.620182,10,medio
LTC/BTC,LTC,BTC,9.195951,37177.302704,3,alto
METH/ETH,METH,ETH,389.3504,27521.109639,10,medio
PAXG/BTC,PAXG,BTC,9.195951,14268.248119,6,bajo
PAXG/ETH,PAXG,ETH,389.350485,11580.900414,4,bajo
PENGU/USDC,PENGU,USDC,1000400.160064,10321.718972,3,bajo
RLUSD/USDC,RLUSD,USDC,1000400.16006,320404.605062,7,optimo
SOL/BTC,SOL,BTC,9.1959519,103073.936965,19,optimo
SOL/ETH,SOL,ETH,389.350485,57109.5013,8,optimo
SOL/USDC,SOL,USDC,1000400.16,61075.470666,19,optimo
TRUMP/USDC,TRUMP,USDC,1000400.16,17982.578208,18,bajo
TRX/BTC,TRX,BTC,9.1959519419,13604.346752,14,bajo
USDG/USDC,USDG,USDC,1000400.16,209718.18278,14,optimo
USDQ/USDC,USDQ,USDC,1000400.16,25510.45552,2,medio
USDR/USDC,USDR,USDC,1000400.16,259815.174503,8,optimo
WBTC/BTC,WBTC,BTC,9.19595,960161.250921,12,optimo
XLM/BTC,XLM,BTC,9.195951941,36796.12861,5,alto
XRP/BTC,XRP,BTC,9.19595194,197444.293994,7,optimo
XRP/ETH,XRP,ETH,389.3504855,47974.58182,11,alto
XRP/RLUSD,XRP,RLUSD,1000610.37232,151959.440588,8,optimo
XRP/USDC,XRP,USDC,1000400.16006,240141.346425,26,optimo
