par_1,par_2,par_3,forma
ADA/USDT,ADA/BTC,BTC/USDT,forma_5_100
ADA/USDT,ADA/ETH,ETH/USDT,forma_5_100
ADA/USDT,ADA/USDC,USDC/USDT,forma_5_100
ALGO/USDT,ALGO/BTC,BTC/USDT,forma_5_100
BCH/USDT,BCH/BTC,BTC/USDT,forma_5_100
BNB/USDT,BNB/USDC,USDC/USDT,forma_5_100
BTC/USDT,BTC/DAI,DAI/USDT,forma_5_100
BTC/USDT,BTC/USDC,USDC/USDT,forma_5_100
BTC/USDT,BTC/USDQ,USDQ/USDT,forma_5_100
BTC/USDT,BTC/USDR,USDR/USDT,forma_5_100
DOGE/USDT,DOGE/BTC,BTC/USDT,forma_5_100
DOT/USDT,DOT/ETH,ETH/USDT,forma_5_100
ETH/USDT,ETH/BTC,BTC/USDT,forma_5_100
ETH/USDT,ETH/DAI,DAI/USDT,forma_5_100
ETH/USDT,ETH/USDC,USDC/USDT,forma_5_100
EURR/USDT,EURR/USDC,USDC/USDT,forma_5_100
LINK/USDT,LINK/BTC,BTC/USDT,forma_5_100
LTC/USDT,LTC/BTC,BTC/USDT,forma_5_100
RLUSD/USDT,RLUSD/USDC,USDC/USDT,forma_5_100
SOL/USDT,SOL/BTC,BTC/USDT,forma_5_100
SOL/USDT,SOL/ETH,ETH/USDT,forma_5_100
SOL/USDT,SOL/USDC,USDC/USDT,forma_5_100
TRUMP/USDT,TRUMP/USDC,USDC/USDT,forma_5_100
USDQ/USDT,USDQ/USDC,USDC/USDT,forma_5_100
USDR/USDT,USDR/USDC,USDC/USDT,forma_5_100
XRP/USDT,XRP/BTC,BTC/USDT,forma_5_100
XRP/USDT,XRP/ETH,ETH/USDT,forma_5_100
XRP/USDT,XRP/RLUSD,RLUSD/USDT,forma_5_100
XRP/USDT,XRP/USDC,USDC/USDT,forma_5_100
BTC/USDT,ADA/BTC,ADA/USDT,forma_7_110
BTC/USDT,ALGO/BTC,ALGO/USDT,forma_7_110
BTC/USDT,BCH/BTC,BCH/USDT,forma_7_110
BTC/USDT,DOGE/BTC,DOGE/USDT,forma_7_110
BTC/USDT,ETH/BTC,ETH/USDT,forma_7_110
BTC/USDT,LINK/BTC,LINK/USDT,forma_7_110
BTC/USDT,LTC/BTC,LTC/USDT,forma_7_110
BTC/USDT,SOL/BTC,SOL/USDT,forma_7_110
BTC/USDT,XRP/BTC,XRP/USDT,forma_7_110
DAI/USDT,BTC/DAI,BTC/USDT,forma_7_110
DAI/USDT,ETH/DAI,ETH/USDT,forma_7_110
ETH/USDT,ADA/ETH,ADA/USDT,forma_7_110
ETH/USDT,DOT/ETH,DOT/USDT,forma_7_110
ETH/USDT,SOL/ETH,SOL/USDT,forma_7_110
ETH/USDT,XRP/ETH,XRP/USDT,forma_7_110
RLUSD/USDT,XRP/RLUSD,XRP/USDT,forma_7_110
USDC/USDT,ADA/USDC,ADA/USDT,forma_7_110
USDC/USDT,BNB/USDC,BNB/USDT,forma_7_110
USDC/USDT,BTC/USDC,BTC/USDT,forma_7_110
USDC/USDT,ETH/USDC,ETH/USDT,forma_7_110
USDC/USDT,EURR/USDC,EURR/USDT,forma_7_110
USDC/USDT,RLUSD/USDC,RLUSD/USDT,forma_7_110
USDC/USDT,SOL/USDC,SOL/USDT,forma_7_110
USDC/USDT,TRUMP/USDC,TRUMP/USDT,forma_7_110
USDC/USDT,USDQ/USDC,USDQ/USDT,forma_7_110
USDC/USDT,USDR/USDC,USDR/USDT,forma_7_110
USDC/USDT,XRP/USDC,XRP/USDT,forma_7_110
USDQ/USDT,BTC/USDQ,BTC/USDT,forma_7_110
USDR/USDT,BTC/USDR,BTC/USDT,forma_7_110
